INDEXID;DATE;SECID;WAPRICE;WEIGHT
MICEXINDEXCF;2001-02-16;INUR;58.077;0.044
MICEXINDEXCF;2001-02-16;IRGZ;2.321;0.02
MICEXINDEXCF;2001-02-16;LKOH;302.563;0.46
MICEXINDEXCF;2001-02-16;MSNG;1.111;0.044
MICEXINDEXCF;2001-02-16;NKEL;280.056;0.08
MICEXINDEXCF;2001-02-16;RTKM;31.526;0.036
MICEXINDEXCF;2001-02-16;SAGO;0.552;0.001
MICEXINDEXCF;2001-02-16;SBER;761.377;0.012
MICEXINDEXCF;2001-02-16;SIBN;10.5;0.014
MICEXINDEXCF;2001-02-16;TATN;15.103;0.067
MICEXINDEXCF;2001-02-16;YUKO;68.594;0.034
MICEXINDEXCF;2001-02-19;EESR;3.201;0.186
MICEXINDEXCF;2001-02-19;INUR;58;0.045
MICEXINDEXCF;2001-02-19;IRGZ;2.298;0.021
MICEXINDEXCF;2001-02-19;LKOH;291.408;0.458
MICEXINDEXCF;2001-02-19;MSNG;1.045;0.043
MICEXINDEXCF;2001-02-19;NKEL;278.195;0.082
MICEXINDEXCF;2001-02-19;RTKM;29.468;0.035
MICEXINDEXCF;2001-02-19;SAGO;0.55;0.001
MICEXINDEXCF;2001-02-19;SBER;733.797;0.012
MICEXINDEXCF;2001-02-19;SIBN;10.5;0.015
MICEXINDEXCF;2001-02-19;TATN;14.617;0.067
MICEXINDEXCF;2001-02-19;YUKO;68.287;0.035
MICEXINDEXCF;2001-02-20;EESR;3.156;0.185
MICEXINDEXCF;2001-02-20;INUR;57.2;0.045
MICEXINDEXCF;2001-02-20;IRGZ;2.293;0.021
MICEXINDEXCF;2001-02-20;LKOH;288.47;0.458
MICEXINDEXCF;2001-02-20;MSNG;1.038;0.043
MICEXINDEXCF;2001-02-20;NKEL;273.223;0.082
MICEXINDEXCF;2001-02-20;RTKM;28.982;0.034
MICEXINDEXCF;2001-02-20;SAGO;0.567;0.001
MICEXINDEXCF;2001-02-20;SBER;723.889;0.012
MICEXINDEXCF;2001-02-20;SIBN;9.747;0.014
MICEXINDEXCF;2001-02-20;TATN;14.722;0.068
MICEXINDEXCF;2001-02-20;YUKO;70.328;0.037
MICEXINDEXCF;2001-02-21;EESR;2.778;0.178
MICEXINDEXCF;2001-02-21;INUR;50;0.043
MICEXINDEXCF;2001-02-21;IRGZ;2.063;0.02
MICEXINDEXCF;2001-02-21;LKOH;266.72;0.462
MICEXINDEXCF;2001-02-21;MSNG;0.934;0.042
MICEXINDEXCF;2001-02-21;NKEL;257.109;0.084
MICEXINDEXCF;2001-02-21;RTKM;26.459;0.034
MICEXINDEXCF;2001-02-21;SAGO;0.492;0.001
MICEXINDEXCF;2001-02-21;SBER;679.684;0.013
MICEXINDEXCF;2001-02-21;SIBN;9.747;0.015
MICEXINDEXCF;2001-02-21;TATN;13.939;0.07
MICEXINDEXCF;2001-02-21;YUKO;67.571;0.039
MICEXINDEXCF;2001-02-22;EESR;2.769;0.174
MICEXINDEXCF;2001-02-22;INUR;50;0.042
MICEXINDEXCF;2001-02-22;IRGZ;2.178;0.021
MICEXINDEXCF;2001-02-22;LKOH;275.271;0.469
MICEXINDEXCF;2001-02-22;MSNG;0.993;0.044
MICEXINDEXCF;2001-02-22;NKEL;259.639;0.083
MICEXINDEXCF;2001-02-22;RTKM;25.251;0.032
MICEXINDEXCF;2001-02-22;SAGO;0.504;0.001
MICEXINDEXCF;2001-02-22;SBER;669.939;0.012
MICEXINDEXCF;2001-02-22;SIBN;9;0.014
MICEXINDEXCF;2001-02-22;TATN;13.726;0.068
MICEXINDEXCF;2001-02-22;YUKO;68.533;0.039
MICEXINDEXCF;2001-02-23;EESR;2.749;0.174
MICEXINDEXCF;2001-02-23;INUR;50;0.043
MICEXINDEXCF;2001-02-23;IRGZ;2.164;0.021
MICEXINDEXCF;2001-02-23;LKOH;273.848;0.469
MICEXINDEXCF;2001-02-23;MSNG;0.974;0.043
MICEXINDEXCF;2001-02-23;NKEL;256.989;0.083
MICEXINDEXCF;2001-02-23;RTKM;24.693;0.032
MICEXINDEXCF;2001-02-23;SAGO;0.51;0.001
MICEXINDEXCF;2001-02-23;SBER;662.816;0.012
MICEXINDEXCF;2001-02-23;SIBN;9;0.014
MICEXINDEXCF;2001-02-23;TATN;14.089;0.07
MICEXINDEXCF;2001-02-23;YUKO;68.119;0.038
MICEXINDEXCF;2001-02-26;EESR;2.81;0.175
MICEXINDEXCF;2001-02-26;INUR;51;0.043
MICEXINDEXCF;2001-02-26;IRGZ;2.306;0.022
MICEXINDEXCF;2001-02-26;LKOH;275.58;0.466
MICEXINDEXCF;2001-02-26;MSNG;0.993;0.044
MICEXINDEXCF;2001-02-26;NKEL;262.701;0.084
MICEXINDEXCF;2001-02-26;RTKM;25.406;0.032
MICEXINDEXCF;2001-02-26;SAGO;0.51;0.001
MICEXINDEXCF;2001-02-26;SBER;680.16;0.012
